name,npdId,field,year,month,operationTime,operationTimeUom,wellStatus,oil,oilUom,gas,gasUom,condensate,condensateUom,water,waterUom
33/9-L-3 H,2206,STATFJORD ØST,1994,10,23.91,d,producing,51473,Sm3,7547000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1994,11,28.45,d,producing,90972,Sm3,13310000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1994,12,30.81,d,producing,110652,Sm3,16155000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,1,27.5,d,producing,99745,Sm3,14158000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,2,21.58,d,producing,86007,Sm3,12235000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,3,30.89,d,producing,126673,Sm3,18049000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,4,29.9,d,producing,127466,Sm3,18174000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,5,30.58,d,producing,124589,Sm3,17742000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,6,24.87,d,producing,83092,Sm3,11848000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,7,29.83,d,producing,76922,Sm3,10958000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,8,29.28,d,producing,85177,Sm3,12130000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,9,29.82,d,producing,109998,Sm3,15672000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,10,31,d,producing,128232,Sm3,18285000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,11,29.71,d,producing,117422,Sm3,16735000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1995,12,31,d,producing,125050,Sm3,17800000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,1,30.31,d,producing,123668,Sm3,17612000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,2,27.6,d,producing,112336,Sm3,15970000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,3,30.05,d,producing,122146,Sm3,17375000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,4,29.86,d,producing,119613,Sm3,17024000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,5,25.02,d,producing,99233,Sm3,14138000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,6,28.77,d,producing,106812,Sm3,15217000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,7,28.4,d,producing,103310,Sm3,14714000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,8,8.83,d,producing,24165,Sm3,3482000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,9,29.87,d,producing,65593,Sm3,9321000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,10,27.95,d,producing,61268,Sm3,8708000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,11,28.75,d,producing,65535,Sm3,9323000,Sm3,,Sm3,0,Sm3
33/9-L-3 H,2206,STATFJORD ØST,1996,12,29.31,d,producing,79678,Sm3,11332000,Sm3,,Sm3,0,Sm3
